01/2002;12,721
02/2002;14,33
03/2002;13,254
04/2002;13,85
05/2002;12,861
06/2002;11,139
07/2002;9,762
08/2002;10,382
09/2002;8,622
10/2002;10,167
11/2002;10,508
12/2002;11,268
01/2003;10,941
02/2003;10,280
03/2003;11,273
04/2003;12,556
05/2003;13,421
06/2003;12,972
07/2003;13,571
08/2003;15,174
09/2003;16,10
10/2003;17,982
11/2003;20,183
12/2003;22,236
01/2004;21,851
02/2004;21,755
03/2004;22,142
04/2004;19,607
05/2004;19,544
06/2004;21,148
07/2004;22,336
08/2004;22,803
09/2004;23,245
10/2004;23,52
11/2004;25,128
12/2004;26,196
01/2005;24,350
02/2005;28,139
03/2005;26,610
04/2005;24,843
05/2005;25,207
06/2005;25,51
07/2005;26,42
08/2005;28,44
09/2005;31,583
10/2005;30,193
11/2005;31,916
12/2005;33,455
01/2006;38,382
02/2006;38,610
03/2006;37,951
04/2006;40,363
05/2006;36,530
06/2006;36,630
07/2006;37,77
08/2006;36,232
09/2006;36,449
10/2006;39,262
11/2006;41,931
12/2006;44,473
01/2007;44,641
02/2007;43,892
03/2007;45,804
04/2007;48,956
05/2007;52,268
06/2007;54,392
07/2007;54,182
08/2007;54,637
09/2007;60,465
10/2007;65,317
11/2007;63,6
12/2007;63,886
01/2008;59,490
02/2008;63,489
03/2008;60,968
04/2008;67,868
05/2008;72,592
06/2008;65,17
07/2008;59,505
08/2008;55,680
09/2008;49,541
10/2008;37,256
11/2008;36,595
12/2008;37,550
01/2009;39,300
02/2009;38,183
03/2009;40,926
04/2009;47,289
05/2009;53,197
06/2009;51,466
07/2009;54,766
08/2009;56,489
09/2009;61,518
10/2009;61,546
11/2009;67,44
12/2009;68,588
01/2010;65,402
02/2010;66,503
03/2010;70,371
04/2010;67,530
05/2010;63,44
06/2010;60,935
07/2010;67,515
08/2010;65,145
09/2010;69,429
10/2010;70,673
11/2010;67,705
12/2010;69,304
01/2011;66,574
02/2011;67,383
03/2011;68,586
04/2011;66,132
05/2011;64,620
06/2011;62,403
07/2011;58,823
08/2011;56,495
09/2011;52,324
10/2011;58,338
11/2011;56,874
12/2011;56,754
01/2012;63,72
02/2012;65,811
03/2012;64,510
04/2012;61,820
05/2012;54,490
06/2012;54,354
07/2012;56,97
08/2012;57,61
09/2012;59,175
10/2012;57,68
11/2012;57,474
12/2012;60,952
01/2013;59,761
02/2013;57,424
03/2013;56,352
04/2013;55,910
05/2013;53,506
06/2013;47,457
07/2013;48,234
08/2013;50,11
09/2013;52,338
10/2013;54,256
11/2013;52,482
12/2013;51,507
01/2014;47,638
02/2014;47,94
03/2014;50,414
04/2014;51,626
05/2014;51,239
06/2014;53,168
07/2014;55,829
08/2014;61,288
09/2014;54,115
10/2014;54,628
11/2014;54,724
12/2014;50,7
01/2015;46,907
02/2015;51,583
03/2015;51,150
04/2015;56,229
05/2015;52,760
06/2015;53,80
07/2015;50,864
08/2015;46,625
09/2015;45,59
10/2015;45,868
11/2015;45,120
12/2015;43,349
01/2016;40,405
02/2016;42,793
03/2016;50,55
